id;CIDADE;ESTADO;UF;REGIÃO;location;Latitude;Longitude
1100015;Alta Floresta D'Oeste;Rondônia;RO;Norte;Alta Floresta d'Oeste, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76954-000, Brasil;-119.296.917;-619.961.284
1100023;Ariquemes;Rondônia;RO;Norte;Ariquemes, Região Geográfica Imediata de Ariquemes, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-99.076.522;-63.033.069
1100031;Cabixi;Rondônia;RO;Norte;Cabixi, Região Geográfica Imediata de Vilhena, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-134.940.499;-60.545.110.240.525.300
1100049;Cacoal;Rondônia;RO;Norte;Cacoal, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-114.333;-614.420.502
1100056;Cerejeiras;Rondônia;RO;Norte;Cerejeiras, Região Geográfica Imediata de Vilhena, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76997-000, Brasil;-131.924.248;-6.081.924.455.857.770
1100064;Colorado do Oeste;Rondônia;RO;Norte;Colorado do Oeste, Região Geográfica Imediata de Vilhena, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76993-000, Brasil;-1.312.109.915;-6.054.207.007.205.340
1100072;Corumbiara;Rondônia;RO;Norte;Corumbiara, Região Geográfica Imediata de Vilhena, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-130.002.162;-6.094.320.578.255.160
1100080;Costa Marques;Rondônia;RO;Norte;Costa Marques, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-124.367.165;-642.279.765
1100098;Espigão D'Oeste;Rondônia;RO;Norte;Espigão d'Oeste, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76974-000, Brasil;-11.532.175;-610.130.935
1100106;Guajará-Mirim;Rondônia;RO;Norte;Guajará-Mirim, Região Geográfica Imediata de Porto Velho, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-107.804.239;-653.327.825
1100114;Jaru;Rondônia;RO;Norte;Jaru, Região Geográfica Imediata de Jaru, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, 76890-000, Brasil;-10.431.826;-62.478.769
1100122;Ji-Paraná;Rondônia;RO;Norte;Ji-Paraná, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-108.778.148;-619.277.854
1100130;Machadinho D'Oeste;Rondônia;RO;Norte;Machadinho d'Oeste, Região Geográfica Imediata de Jaru, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, 76868-000, Brasil;-94.240.851;-619.923.719
1100148;Nova Brasilândia D'Oeste;Rondônia;RO;Norte;Nova Brasilândia d'Oeste, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-11.722.692;-62.315.545
1100155;Ouro Preto do Oeste;Rondônia;RO;Norte;Ouro Preto do Oeste, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76920-000, Brasil;-10.717.914;-622.566.611
1100189;Pimenta Bueno;Rondônia;RO;Norte;Pimenta Bueno, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76970-000, Brasil;-116.767.868;-611.863.902
1100205;Porto Velho;Rondônia;RO;Norte;Porto Velho, Região Geográfica Imediata de Porto Velho, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-87.494.525;-638.735.438
1100254;Presidente Médici;Rondônia;RO;Norte;Presidente Médici, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76916-000, Brasil;-111.686.638;-619.057.627
1100262;Rio Crespo;Rondônia;RO;Norte;Rio Crespo, Região Geográfica Imediata de Ariquemes, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-96.876.925;-6.283.609.371.666.660
1100288;Rolim de Moura;Rondônia;RO;Norte;Rolim de Moura, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76940-000, Brasil;-11.727.071;-61.771.411
